Series/Set,Name,Price(>10.0<100.0),Image
swsh08-fusion-strike,Celebi V (Alternate Full Art),$25.67,https://tcgplayer-cdn.tcgplayer.com/product/253138_25w.jpg
swsh08-fusion-strike,Flaaffy (Secret),$12.12,https://tcgplayer-cdn.tcgplayer.com/product/253284_25w.jpg
swsh08-fusion-strike,Genesect V (Alternate Full Art),$28.84,https://tcgplayer-cdn.tcgplayer.com/product/253155_25w.jpg
swsh08-fusion-strike,Greedent V (Alternate Full Art),$12.74,https://tcgplayer-cdn.tcgplayer.com/product/253157_25w.jpg
swsh08-fusion-strike,Mew V (Full Art),$20.84,https://tcgplayer-cdn.tcgplayer.com/product/253146_25w.jpg
swsh08-fusion-strike,Mew VMAX (Alternate Art Secret),$77.01,https://tcgplayer-cdn.tcgplayer.com/product/253177_25w.jpg
swsh08-fusion-strike,Boltund VMAX (Secret),$10.33,https://tcgplayer-cdn.tcgplayer.com/product/253174_25w.jpg
swsh08-fusion-strike,Elesa's Sparkle (Full Art),$10.66,https://tcgplayer-cdn.tcgplayer.com/product/253161_25w.jpg
swsh08-fusion-strike,Fire Energy (Secret),$12.41,https://tcgplayer-cdn.tcgplayer.com/product/253289_25w.jpg
swsh08-fusion-strike,Genesect V (Full Art),$10.19,https://tcgplayer-cdn.tcgplayer.com/product/253154_25w.jpg
swsh08-fusion-strike,Gengar VMAX,$19.31,https://tcgplayer-cdn.tcgplayer.com/product/253371_25w.jpg
swsh08-fusion-strike,Grass Energy (Secret),$11.49,https://tcgplayer-cdn.tcgplayer.com/product/253287_25w.jpg
swsh08-fusion-strike,Inteleon VMAX (Alternate Art Secret),$29.16,https://tcgplayer-cdn.tcgplayer.com/product/253171_25w.jpg
swsh08-fusion-strike,Mew V (Alternate Full Art),$44.23,https://tcgplayer-cdn.tcgplayer.com/product/253147_25w.jpg
swsh08-fusion-strike,Mew VMAX,$31.46,https://tcgplayer-cdn.tcgplayer.com/product/253275_25w.jpg
swsh08-fusion-strike,Mew VMAX (Secret),$51.53,https://tcgplayer-cdn.tcgplayer.com/product/253176_25w.jpg
celebrations,Mew (Secret),$43.66,https://tcgplayer-cdn.tcgplayer.com/product/250295_25w.jpg
celebrations-classic-collection,Charizard,$73.68,https://tcgplayer-cdn.tcgplayer.com/product/250320_25w.jpg
celebrations-classic-collection,M Rayquaza EX,$13.54,https://tcgplayer-cdn.tcgplayer.com/product/250341_25w.jpg
celebrations-classic-collection,Mewtwo EX,$11.97,https://tcgplayer-cdn.tcgplayer.com/product/250339_25w.jpg
celebrations-classic-collection,Shining Magikarp,$20.90,https://tcgplayer-cdn.tcgplayer.com/product/250327_25w.jpg
celebrations-classic-collection,Umbreon Star,$28.49,https://tcgplayer-cdn.tcgplayer.com/product/250332_25w.jpg
swsh07-evolving-skies,Cresselia (Secret),$15.91,https://tcgplayer-cdn.tcgplayer.com/product/246803_25w.jpg
swsh07-evolving-skies,Crystal Cave (Secret),$10.79,https://tcgplayer-cdn.tcgplayer.com/product/246805_25w.jpg
swsh07-evolving-skies,Darkness Energy (Secret),$24.28,https://tcgplayer-cdn.tcgplayer.com/product/246811_25w.jpg
swsh07-evolving-skies,Dragonite V (Alternate Full Art),$77.15,https://tcgplayer-cdn.tcgplayer.com/product/246758_25w.jpg
swsh07-evolving-skies,Duraludon V (Alternate Full Art),$19.55,https://tcgplayer-cdn.tcgplayer.com/product/246750_25w.jpg
swsh07-evolving-skies,Duraludon VMAX (Secret),$13.58,https://tcgplayer-cdn.tcgplayer.com/product/246752_25w.jpg
swsh07-evolving-skies,Espeon V (Full Art),$13.62,https://tcgplayer-cdn.tcgplayer.com/product/246687_25w.jpg
swsh07-evolving-skies,Flareon V (Full Art),$14.80,https://tcgplayer-cdn.tcgplayer.com/product/246721_25w.jpg
swsh07-evolving-skies,Froslass (Secret),$11.41,https://tcgplayer-cdn.tcgplayer.com/product/246801_25w.jpg
swsh07-evolving-skies,Glaceon V (Alternate Art Full),$58.00,https://tcgplayer-cdn.tcgplayer.com/product/246747_25w.jpg
swsh07-evolving-skies,Glaceon VMAX (Secret),$20.98,https://tcgplayer-cdn.tcgplayer.com/product/246755_25w.jpg
