swsh08-fusion-strike,Code Card - Fusion Strike 3 Pack Blister [Espeon],,Code Card,$0.25,https://tcgplayer-cdn.tcgplayer.com/product/267750_25w.jpg,https://www.tcgplayer.com/product/267750/pokemon-swsh08-fusion-strike-code-card-fusion-strike-3-pack-blister-espeon
swsh08-fusion-strike,Code Card - Fusion Strike Build & Battle Box,,Code Card,$0.54,https://tcgplayer-cdn.tcgplayer.com/product/257532_25w.jpg,https://www.tcgplayer.com/product/257532/pokemon-swsh08-fusion-strike-code-card-fusion-strike-build-and-battle-box
swsh08-fusion-strike,Code Card - Fusion Strike Pokemon Center Elite Trainer Box,,Code Card,$0.49,https://tcgplayer-cdn.tcgplayer.com/product/256467_25w.jpg,https://www.tcgplayer.com/product/256467/pokemon-swsh08-fusion-strike-code-card-fusion-strike-pokemon-center-elite-trainer-box
swsh08-fusion-strike,Code Card - Fusion Strike Single Pack Blister [Tepig],,Code Card,$0.09,https://tcgplayer-cdn.tcgplayer.com/product/257533_25w.jpg,https://www.tcgplayer.com/product/257533/pokemon-swsh08-fusion-strike-code-card-fusion-strike-single-pack-blister-tepig
swsh08-fusion-strike,Code Card - Rapid Strike Urshifu VMAX Premium Collection,,Code Card,$1.62,https://tcgplayer-cdn.tcgplayer.com/product/253456_25w.jpg,https://www.tcgplayer.com/product/253456/pokemon-swsh08-fusion-strike-code-card-rapid-strike-urshifu-vmax-premium-collection
swsh08-fusion-strike,Cook,228/264,Uncommon,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253099_25w.jpg,https://www.tcgplayer.com/product/253099/pokemon-swsh08-fusion-strike-cook
swsh08-fusion-strike,Corviknight,190/264,Rare,$0.11,https://tcgplayer-cdn.tcgplayer.com/product/253344_25w.jpg,https://www.tcgplayer.com/product/253344/pokemon-swsh08-fusion-strike-corviknight
swsh08-fusion-strike,Crabominable V,076/264,Ultra Rare,$1.04,https://tcgplayer-cdn.tcgplayer.com/product/253226_25w.jpg,https://www.tcgplayer.com/product/253226/pokemon-swsh08-fusion-strike-crabominable-v
swsh08-fusion-strike,Cram-o-matic,229/264,Uncommon,$0.39,https://tcgplayer-cdn.tcgplayer.com/product/253100_25w.jpg,https://www.tcgplayer.com/product/253100/pokemon-swsh08-fusion-strike-cram-o-matic
swsh08-fusion-strike,Croconaw,056/264,Uncommon,$0.02,https://tcgplayer-cdn.tcgplayer.com/product/253187_25w.jpg,https://www.tcgplayer.com/product/253187/pokemon-swsh08-fusion-strike-croconaw
swsh08-fusion-strike,Crossceiver,231/264,Uncommon,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253103_25w.jpg,https://www.tcgplayer.com/product/253103/pokemon-swsh08-fusion-strike-crossceiver
swsh08-fusion-strike,Dancer,232/264,Uncommon,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253104_25w.jpg,https://www.tcgplayer.com/product/253104/pokemon-swsh08-fusion-strike-dancer
swsh08-fusion-strike,Dancer (Secret),274/264,Secret Rare,$5.42,https://tcgplayer-cdn.tcgplayer.com/product/253272_25w.jpg,https://www.tcgplayer.com/product/253272/pokemon-swsh08-fusion-strike-dancer-secret
swsh08-fusion-strike,Delcatty,211/264,Uncommon,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253307_25w.jpg,https://www.tcgplayer.com/product/253307/pokemon-swsh08-fusion-strike-delcatty
swsh08-fusion-strike,Dewpider,019/264,Common,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253102_25w.jpg,https://www.tcgplayer.com/product/253102/pokemon-swsh08-fusion-strike-dewpider
swsh08-fusion-strike,Dodrio V,201/264,Ultra Rare,$1.08,https://tcgplayer-cdn.tcgplayer.com/product/253295_25w.jpg,https://www.tcgplayer.com/product/253295/pokemon-swsh08-fusion-strike-dodrio-v
swsh08-fusion-strike,Drakloak,129/264,Uncommon,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253325_25w.jpg,https://www.tcgplayer.com/product/253325/pokemon-swsh08-fusion-strike-drakloak
swsh08-fusion-strike,Dreepy,128/264,Common,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253321_25w.jpg,https://www.tcgplayer.com/product/253321/pokemon-swsh08-fusion-strike-dreepy
swsh08-fusion-strike,Dubwool,223/264,Uncommon,$0.07,https://tcgplayer-cdn.tcgplayer.com/product/253324_25w.jpg,https://www.tcgplayer.com/product/253324/pokemon-swsh08-fusion-strike-dubwool
swsh08-fusion-strike,Durant,184/264,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253332_25w.jpg,https://www.tcgplayer.com/product/253332/pokemon-swsh08-fusion-strike-durant
