Series/Set,Name,Price(>100.0<150.0),Image
swsh08-fusion-strike,Gengar VMAX (Alternate Art Secret),$107.31,https://tcgplayer-cdn.tcgplayer.com/product/253266_25w.jpg
swsh08-fusion-strike,Espeon VMAX (Alternate Art Secret),$108.09,https://tcgplayer-cdn.tcgplayer.com/product/253265_25w.jpg
swsh07-evolving-skies,Sylveon VMAX (Alternate Art Secret),$110.69,https://tcgplayer-cdn.tcgplayer.com/product/246704_25w.jpg
swsh07-evolving-skies,Glaceon VMAX (Alternate Art Secret),$121.77,https://tcgplayer-cdn.tcgplayer.com/product/246756_25w.jpg
swsh07-evolving-skies,Leafeon VMAX (Alternate Art Secret),$127.91,https://tcgplayer-cdn.tcgplayer.com/product/246696_25w.jpg
swsh06-chilling-reign,Blaziken VMAX (Alternate Art Secret),$101.12,https://tcgplayer-cdn.tcgplayer.com/product/241673_25w.jpg
shining-fates-shiny-vault,Charizard VMAX,$131.59,https://tcgplayer-cdn.tcgplayer.com/product/232496_25w.jpg
skyridge,Ledian (H14),$142.50,https://tcgplayer-cdn.tcgplayer.com/product/86690_25w.jpg
skyridge,Xatu (H32),$130.85,https://tcgplayer-cdn.tcgplayer.com/product/90658_25w.jpg
skyridge,Beedrill (H4),$122.69,https://tcgplayer-cdn.tcgplayer.com/product/83764_25w.jpg
skyridge,Jolteon (H12),$129.00,https://tcgplayer-cdn.tcgplayer.com/product/86337_25w.jpg
skyridge,Kabutops (H13),$119.88,https://tcgplayer-cdn.tcgplayer.com/product/86391_25w.jpg
skyridge,Magcargo (H17),$111.40,https://tcgplayer-cdn.tcgplayer.com/product/87010_25w.jpg
skyridge,Magneton (H19),$115.00,https://tcgplayer-cdn.tcgplayer.com/product/87096_25w.jpg
skyridge,Steelix (H29),$118.49,https://tcgplayer-cdn.tcgplayer.com/product/89558_25w.jpg
ruby-and-sapphire,Mewtwo ex,$102.35,https://tcgplayer-cdn.tcgplayer.com/product/87428_25w.jpg
expedition,Tyranitar (29),$118.97,https://tcgplayer-cdn.tcgplayer.com/product/90115_25w.jpg
expedition,Alakazam (1),$120.88,https://tcgplayer-cdn.tcgplayer.com/product/83497_25w.jpg
expedition,Gengar (13),$102.14,https://tcgplayer-cdn.tcgplayer.com/product/85671_25w.jpg
expedition,Typhlosion (28),$106.19,https://tcgplayer-cdn.tcgplayer.com/product/90100_25w.jpg
gym-challenge,Brock's Ninetales,$126.98,https://tcgplayer-cdn.tcgplayer.com/product/83973_25w.jpg
gym-challenge,Lt. Surge's Raichu,$106.23,https://tcgplayer-cdn.tcgplayer.com/product/86861_25w.jpg
gym-challenge,Sabrina's Alakazam,$129.10,https://tcgplayer-cdn.tcgplayer.com/product/88866_25w.jpg
gym-heroes,Rocket's Scyther,$136.50,https://tcgplayer-cdn.tcgplayer.com/product/88788_25w.jpg
gym-heroes,Misty (18),$102.63,https://tcgplayer-cdn.tcgplayer.com/product/87523_25w.jpg
gym-heroes,Rocket's Moltres,$121.92,https://tcgplayer-cdn.tcgplayer.com/product/88781_25w.jpg
base-set,Blastoise,$105.37,https://tcgplayer-cdn.tcgplayer.com/product/42360_25w.jpg
xy-promos,Mewtwo (XY Evolutions Prerelease),$122.98,https://tcgplayer-cdn.tcgplayer.com/product/126020_25w.jpg
xy-promos,Tyranitar (Staff Prerelease),$128.64,https://tcgplayer-cdn.tcgplayer.com/product/118870_25w.jpg
plasma-blast,Iris (101 Full Art),$104.21,https://tcgplayer-cdn.tcgplayer.com/product/86289_25w.jpg
boundaries-crossed,Bianca (147 Full Art),$111.23,https://tcgplayer-cdn.tcgplayer.com/product/83816_25w.jpg
arceus,Shinx (Shiny),$122.50,https://tcgplayer-cdn.tcgplayer.com/product/89178_25w.jpg
supreme-victors,Charizard G Lv.X,$124.03,https://tcgplayer-cdn.tcgplayer.com/product/84201_25w.jpg
supreme-victors,Articuno (148),$149.48,https://tcgplayer-cdn.tcgplayer.com/product/83651_25w.jpg
emerald,Deoxys ex (Speed Forme),$113.87,https://tcgplayer-cdn.tcgplayer.com/product/84773_25w.jpg
emerald,Raichu ex,$104.99,https://tcgplayer-cdn.tcgplayer.com/product/88526_25w.jpg
emerald,Regice ex,$110.00,https://tcgplayer-cdn.tcgplayer.com/product/88660_25w.jpg
emerald,Registeel ex,$127.19,https://tcgplayer-cdn.tcgplayer.com/product/88680_25w.jpg
team-magma-vs-team-aqua,Swampert ex,$103.59,https://tcgplayer-cdn.tcgplayer.com/product/89682_25w.jpg
team-magma-vs-team-aqua,Blaziken ex,$132.50,https://tcgplayer-cdn.tcgplayer.com/product/83912_25w.jpg
team-rocket,Dark Raichu,$123.44,https://tcgplayer-cdn.tcgplayer.com/product/84647_25w.jpg
fossil,Articuno (2),$110.95,https://tcgplayer-cdn.tcgplayer.com/product/106518_25w.jpg
fossil,Lapras (10),$139.72,https://tcgplayer-cdn.tcgplayer.com/product/44419_25w.jpg
fossil,Moltres (12),$112.49,https://tcgplayer-cdn.tcgplayer.com/product/44421_25w.jpg
fossil,Zapdos (15),$118.78,https://tcgplayer-cdn.tcgplayer.com/product/44424_25w.jpg
base-set-shadowless,Bulbasaur,$137.37,https://tcgplayer-cdn.tcgplayer.com/product/107041_25w.jpg
base-set-shadowless,Dragonair,$123.99,https://tcgplayer-cdn.tcgplayer.com/product/107013_25w.jpg
base-set-shadowless,Pikachu,$122.24,https://tcgplayer-cdn.tcgplayer.com/product/107055_25w.jpg
base-set-shadowless,Raichu,$110.97,https://tcgplayer-cdn.tcgplayer.com/product/107009_25w.jpg
firered-and-leafgreen,Gyarados ex,$110.00,https://tcgplayer-cdn.tcgplayer.com/product/86004_25w.jpg
firered-and-leafgreen,Articuno ex,$118.31,https://tcgplayer-cdn.tcgplayer.com/product/83654_25w.jpg
majestic-dawn,Garchomp Lv.X,$121.79,https://tcgplayer-cdn.tcgplayer.com/product/85631_25w.jpg
majestic-dawn,Glaceon Lv.X,$141.94,https://tcgplayer-cdn.tcgplayer.com/product/85750_25w.jpg
majestic-dawn,Porygon-Z Lv.X,$115.85,https://tcgplayer-cdn.tcgplayer.com/product/88321_25w.jpg
black-and-white-promos,Victory Cup (1st - Autumn 2012),$124.99,https://tcgplayer-cdn.tcgplayer.com/product/96860_25w.jpg
black-and-white-promos,Victory Cup (1st - Spring 2013),$100.38,https://tcgplayer-cdn.tcgplayer.com/product/96866_25w.jpg
black-and-white-promos,Metagross (Team Plasma)(Staff Prerelease),$115.85,https://tcgplayer-cdn.tcgplayer.com/product/97090_25w.jpg
legend-maker,Mew ex,$107.50,https://tcgplayer-cdn.tcgplayer.com/product/87409_25w.jpg
nintendo-promos,Snorlax - 33/95 (Prerelease Promo) [Staff],$149.99,https://tcgplayer-cdn.tcgplayer.com/product/228494_25w.jpg
nintendo-promos,Mudkip (5),$120.00,https://tcgplayer-cdn.tcgplayer.com/product/87608_25w.jpg
power-keepers,Charizard,$113.99,https://tcgplayer-cdn.tcgplayer.com/product/84188_25w.jpg
team-rocket-returns,Rocket's Articuno ex,$115.97,https://tcgplayer-cdn.tcgplayer.com/product/88768_25w.jpg
rising-rivals,Snorlax Lv.X,$105.00,https://tcgplayer-cdn.tcgplayer.com/product/89397_25w.jpg
hidden-legends,Ninetales ex,$133.13,https://tcgplayer-cdn.tcgplayer.com/product/87782_25w.jpg
wotc-promo,______'s Pikachu,$144.79,https://tcgplayer-cdn.tcgplayer.com/product/90784_25w.jpg
aquapolis,Ampharos (H1),$116.44,https://tcgplayer-cdn.tcgplayer.com/product/83537_25w.jpg
aquapolis,Nidoking (H18),$104.73,https://tcgplayer-cdn.tcgplayer.com/product/87692_25w.jpg
aquapolis,Ninetales (H19),$101.18,https://tcgplayer-cdn.tcgplayer.com/product/87767_25w.jpg
aquapolis,Vileplume (H31),$107.22,https://tcgplayer-cdn.tcgplayer.com/product/90377_25w.jpg
aquapolis,Arcanine (H2),$149.48,https://tcgplayer-cdn.tcgplayer.com/product/83576_25w.jpg
aquapolis,Muk (H17),$102.86,https://tcgplayer-cdn.tcgplayer.com/product/87619_25w.jpg
aquapolis,Steelix (H23),$136.62,https://tcgplayer-cdn.tcgplayer.com/product/89557_25w.jpg
dragon,Dragonite ex,$105.69,https://tcgplayer-cdn.tcgplayer.com/product/84918_25w.jpg
dragon,Rayquaza ex,$136.69,https://tcgplayer-cdn.tcgplayer.com/product/88642_25w.jpg
swsh-sword-and-shield-promo-cards,Special Delivery Pikachu - SWSH074,$144.75,https://tcgplayer-cdn.tcgplayer.com/product/227646_25w.jpg
swsh-sword-and-shield-promo-cards,Snorlax - SWSH068 (Prerelease Promo) [Staff],$142.64,https://tcgplayer-cdn.tcgplayer.com/product/224362_25w.jpg
sm-cosmic-eclipse,Rosa (Full Art),$116.68,https://tcgplayer-cdn.tcgplayer.com/product/201651_25w.jpg
